,,,,,,,
TC_ID,Название,Приоритет,Предусловия,Шаги,Ожидаемый результат,Покрытие,Причина отсутствия покрытия
TC001,Авторизация с корректными данными при включенном интернет-соединении,high,"Приложение установлено, интернет-соединение активно",1. Открыть приложение. ,1. Приложение открыто,Да,
,,,,"2. Ввести login2 в поле ""Логин""",2. Логин введен успешно,,
,,,,"3. Ввести password2 в поле ""Пароль""",3. Пароль введен успешно,,
,,,,4. Нажать войти,"4. Вход успешно осуществлен, переход на страницу главная",,
TC002,Ошибка авторизации с корректными данными без подключения к интернету,high,"Приложение установлено, устройство без подключения к интернету",1. Открыть приложение,1. Приложение открыто,Да,
,,,,"2. Ввести в поле ""Логин"" login2",2. Логин введен успешно,,
,,,,"3. Ввести password2 в поле ""Пароль""",3. Пароль введен успешно,,
,,,,"4. Нажать ""Войти""","4. Вход не осуществлен, сообщение об ошибке",,
TC003,Ошибка авторизации с неверным паролем,high,Приложение установлено,1. Открыть приложение,1. Приложение открыто,Да,
,,,,"2. Ввести в поле ""Логин"" login2",2. Логин введен успешно,,
,,,,"3. Ввести неверный пароль в поле ""Пароль""",3. Пароль введен успешно,,
,,,,"4. Нажать ""Войти""","4. Отображается сообщение об ошибке, вход не выполнен.",,
TC004,Ошибка авторизации с неверным логином,high,Приложение установлено,1. Открыть приложение,1. Приложение открыто,Да,
,,,,"2. Ввести в поле ""Логин"" невалидное значение",2. Логин введен успешно,,
,,,,"3. Ввести password2 в поле ""Пароль""",3. Пароль введен успешно,,
,,,,"4. Нажать ""Войти""","4. Вход не осуществлен, сообщение об ошибке, вход не выполнен.",,
TC005,Отображение всех необходимых элементов,medium,Приложение установлено,1. Открыть приложение,"Видимые поля:
-Поле ""Логин""
-Поле ""Пароль""
-Кнопка ""Войти""",Нет,Отображение всех необходимых элементов — визуальная проверка UI
TC006,Pull-to-refresh при наличии новостей,high,"Пользователь авторизован, есть новости",1. Перейти на экран новостей.,"1. Страница ""Все новости"" открылась",Да,
,,,,2. Выполнить свайп вниз.,2. Началась загрузка обновлений,,
,,,,3. Дождаться окончания загрузки,3. После обновления старые и новые новости отображаются успешно и читаемо.,,
TC007,Ошибка при Pull-to-refresh без доступа в интернет,high,"Пользователь авторизован, есть новости",1. Отключить интернет,1. Интернет соединение отключено,Да,
